Genres,Type,Source,Studios,Rating,Episodes
unknown,movie,novel,unknown,g - all ages,1.0
slice of life,ona,original,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",ova,manga,geno studio,r - 17+ (violence & profanity),1.0
"action, comedy, fantasy",ona,game,toei animation,pg-13 - teens 13 or older,2.0
"drama, romance, slice of life",ona,original,2:10 am animation,pg-13 - teens 13 or older,1.0
"action, adventure, fantasy",ona,web manga,unknown,pg-13 - teens 13 or older,20.0
"action, adventure, fantasy",ona,game,sparkly key animation studio,pg-13 - teens 13 or older,13.0
"comedy, girls love",tv,manga,8bit,pg-13 - teens 13 or older,12.0
unknown,music,original,unknown,g - all ages,5.0
unknown,ova,original,unknown,g - all ages,1.0
"avant garde, horror, supernatural",tv,original,ilca,pg-13 - teens 13 or older,13.0
fantasy,ona,novel,haoliners animation league,pg-13 - teens 13 or older,12.0
fantasy,ona,novel,haoliners animation league,pg-13 - teens 13 or older,12.0
fantasy,ona,novel,foch films,pg-13 - teens 13 or older,12.0
"action, adventure, sci-fi",movie,original,polygon pictures,r - 17+ (violence & profanity),1.0
"action, adventure, fantasy",special,manga,toei animation,pg-13 - teens 13 or older,1.0
"gourmet, slice of life",ona,manga,"grom, aurum production",pg-13 - teens 13 or older,20.0
"adventure, drama, sci-fi",movie,game,unknown,pg-13 - teens 13 or older,1.0
drama,ona,original,unknown,g - all ages,1.0
comedy,special,game,a-1 pictures,pg-13 - teens 13 or older,1.0
"fantasy, romance",ova,visual novel,m.s.c,pg-13 - teens 13 or older,1.0
"adventure, sci-fi",ona,original,production +h.,pg-13 - teens 13 or older,6.0
sci-fi,movie,original,hs pictures studio,g - all ages,1.0
sports,special,game,p.a. works,pg-13 - teens 13 or older,3.0
comedy,tv,manga,lesprit,pg-13 - teens 13 or older,12.0
slice of life,special,web manga,tms entertainment,pg-13 - teens 13 or older,2.0
sci-fi,ona,original,toei animation,pg-13 - teens 13 or older,1.0
slice of life,ona,original,unknown,g - all ages,1.0
"comedy, slice of life",tv,web manga,"fanworks, imagineer",pg-13 - teens 13 or older,24.0
"comedy, drama",tv,web manga,silver link.,pg-13 - teens 13 or older,12.0
"comedy, slice of life",tv,original,unknown,pg-13 - teens 13 or older,12.0
"action, mystery, romance",ona,original,build dream,pg-13 - teens 13 or older,21.0
comedy,movie,unknown,unknown,r - 17+ (violence & profanity),1.0
unknown,ona,original,unknown,g - all ages,1.0
comedy,ona,original,unknown,g - all ages,1.0
action,ona,novel,colored pencil animation,pg-13 - teens 13 or older,12.0
comedy,special,original,unknown,pg-13 - teens 13 or older,1.0
comedy,special,original,unknown,g - all ages,1.0
"action, fantasy",ona,original,"nice boat animation, samsara animation studio",r - 17+ (violence & profanity),3.0
"action, adventure, fantasy, romance",ona,web manga,ruo hong culture,pg-13 - teens 13 or older,40.0
"drama, fantasy, mystery, romance",ona,original,rocen,r - 17+ (violence & profanity),20.0
hentai,ona,game,office takeout,rx - hentai,4.0
"comedy, slice of life",tv,4-koma manga,"creators in pack, saetta",pg-13 - teens 13 or older,12.0
unknown,tv,original,olive studio,g - all ages,26.0
unknown,tv,original,unknown,g - all ages,13.0
unknown,tv,original,olive studio,g - all ages,26.0
unknown,tv,original,unknown,g - all ages,13.0
unknown,tv,original,olive studio,g - all ages,26.0
unknown,music,original,unknown,g - all ages,1.0
comedy,ona,original,unknown,g - all ages,9.0
unknown,movie,original,unknown,g - all ages,3.0
unknown,tv,original,unknown,g - all ages,49.0
"action, adventure, drama, fantasy, mystery",tv,game,madhouse,pg-13 - teens 13 or older,12.0
unknown,music,original,sanzigen,g - all ages,1.0
unknown,music,original,sanzigen,g - all ages,1.0
romance,tv,manga,hoods entertainment,pg-13 - teens 13 or older,12.0
"comedy, supernatural",tv,web manga,pierrot plus,pg-13 - teens 13 or older,13.0
unknown,special,manga,brain's base,pg-13 - teens 13 or older,1.0
sports,movie,original,tatsunoko production,pg-13 - teens 13 or older,1.0
drama,tv,game,troyca,pg-13 - teens 13 or older,15.0
"boys love, comedy",ona,manga,anime beans,pg-13 - teens 13 or older,30.0
"fantasy, mystery",tv,manga,lidenfilms,pg-13 - teens 13 or older,12.0
"drama, sports",tv,novel,production i.g,pg-13 - teens 13 or older,23.0
"action, adventure, comedy, fantasy",movie,game,"olm, olm digital, sprite animation studios",pg - children,1.0
comedy,movie,unknown,kyoto animation,g - all ages,3.0
"fantasy, slice of life",tv,original,olm,pg - children,55.0
"comedy, supernatural",movie,game,olm,pg - children,1.0
"drama, sci-fi",ona,original,yokohama animation lab,pg-13 - teens 13 or older,1.0
"drama, sports",tv,original,8bit,pg-13 - teens 13 or older,12.0
fantasy,special,light novel,hoods entertainment,pg-13 - teens 13 or older,2.0
drama,tv,manga,gaina,pg-13 - teens 13 or older,12.0
"award winning, comedy, supernatural",tv,original,mappa,r - 17+ (violence & profanity),12.0
"fantasy, slice of life",tv,original,olm,pg - children,8.0
"action, drama",tv,manga,lidenfilms,r - 17+ (violence & profanity),12.0
"adventure, comedy, fantasy",ona,game,unknown,pg - children,36.0
"award winning, drama, mystery, supernatural",movie,manga,studio 4°c,pg-13 - teens 13 or older,1.0
"drama, romance",tv,manga,diomedéa,r+ - mild nudity,12.0
"comedy, romance",ona,visual novel,felix film,pg-13 - teens 13 or older,1.0
"action, adventure, comedy, fantasy, mystery",tv,light novel,millepensee,pg-13 - teens 13 or older,24.0
comedy,ona,other,fanworks,pg-13 - teens 13 or older,10.0
"action, comedy, fantasy, romance, ecchi",movie,manga,seven arcs pictures,pg-13 - teens 13 or older,1.0
"award winning, drama, fantasy",movie,light novel,kyoto animation,pg-13 - teens 13 or older,1.0
"comedy, sci-fi, slice of life",tv,web manga,gonzo,pg-13 - teens 13 or older,13.0
"action, adventure",tv,manga,geno studio,r - 17+ (violence & profanity),12.0
sports,tv,manga,studio deen,pg-13 - teens 13 or older,12.0
"action, adventure, supernatural",tv,manga,david production,r - 17+ (violence & profanity),39.0
"comedy, fantasy, romance",tv,4-koma manga,saetta,pg-13 - teens 13 or older,12.0
"comedy, girls love",tv,4-koma manga,doga kobo,pg-13 - teens 13 or older,12.0
"action, mystery, supernatural, suspense",ona,original,production i.g,r+ - mild nudity,6.0
comedy,ova,manga,lerche,pg-13 - teens 13 or older,1.0
"action, drama, romance, supernatural",ova,manga,platinum vision,r - 17+ (violence & profanity),1.0
"action, sci-fi",tv,light novel,satelight,pg-13 - teens 13 or older,12.0
comedy,tv,manga,a-1 pictures,pg-13 - teens 13 or older,12.0
"action, award winning, fantasy",tv,manga,ufotable,r - 17+ (violence & profanity),26.0
"comedy, slice of life",special,manga,pierrot plus,g - all ages,12.0
comedy,special,manga,lerche,pg-13 - teens 13 or older,2.0
"action, mystery, supernatural",tv,manga,bones,r - 17+ (violence & profanity),12.0
"comedy, sci-fi",tv,manga,"acca effe, giga production",pg-13 - teens 13 or older,12.0
"action, sci-fi, ecchi",tv,original,david production,pg-13 - teens 13 or older,12.0
sci-fi,tv,original,shaft,pg-13 - teens 13 or older,12.0
"comedy, fantasy, slice of life",ona,original,asura film,g - all ages,10.0
"comedy, slice of life",tv,picture book,magic bus,pg-13 - teens 13 or older,13.0
slice of life,tv,mixed media,"yumeta company, graphinica",pg-13 - teens 13 or older,12.0
"comedy, fantasy",tv,other,unknown,g - all ages,130.0
unknown,movie,original,wit studio,pg-13 - teens 13 or older,1.0
"action, sci-fi",movie,original,"keica, griot groove",pg-13 - teens 13 or older,1.0
unknown,movie,original,nippon animation,pg-13 - teens 13 or older,1.0
unknown,movie,original,unknown,g - all ages,1.0
"action, adventure, fantasy",movie,novel,production i.g,r - 17+ (violence & profanity),1.0
"comedy, slice of life",tv,picture book,nhk enterprises,pg - children,10.0
"action, adventure, romance",movie,original,studio deen,r - 17+ (violence & profanity),1.0
comedy,ona,original,w-toon studio,g - all ages,17.0
"drama, romance",ona,other,asura film,pg-13 - teens 13 or older,30.0
"action, drama, romance, sci-fi",tv,light novel,diomedéa,pg-13 - teens 13 or older,4.0
"action, fantasy",movie,game,orange,pg-13 - teens 13 or older,1.0
"action, fantasy",ona,game,"anima, ilca, studio gooneys, dynamo pictures, cgcg studio",pg-13 - teens 13 or older,63.0
slice of life,ona,original,unknown,g - all ages,3.0
"action, fantasy",ona,game,"anima, ilca, marza animation planet, xflag pictures",pg - children,1.0
comedy,ona,original,unknown,g - all ages,2.0
comedy,special,original,"kyoto animation, animation do",pg-13 - teens 13 or older,1.0
unknown,ona,original,studio chizu,g - all ages,2.0
unknown,special,picture book,unknown,g - all ages,1.0
hentai,ona,original,unknown,rx - hentai,2.0
hentai,ova,web manga,shion,rx - hentai,1.0
hentai,ova,manga,blue bread,rx - hentai,2.0
hentai,ova,visual novel,seven,rx - hentai,1.0
"supernatural, hentai",ova,manga,majin,rx - hentai,4.0
hentai,ona,original,unknown,rx - hentai,2.0
hentai,ova,manga,blue bread,rx - hentai,2.0
hentai,ova,light novel,poro,rx - hentai,4.0
"fantasy, hentai",ova,light novel,flavors soft,rx - hentai,2.0
hentai,ova,other,t-rex,rx - hentai,2.0
"adventure, comedy, fantasy",movie,light novel,j.c.staff,pg-13 - teens 13 or older,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,ona,original,unknown,g - all ages,1.0
"action, fantasy, sci-fi",special,light novel,sunrise,pg-13 - teens 13 or older,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,ona,original,unknown,g - all ages,2.0
adventure,ova,original,studio ugoki,g - all ages,1.0
comedy,special,original,kinema citrus,pg-13 - teens 13 or older,3.0
unknown,music,original,shirogumi,g - all ages,1.0
unknown,music,game,kamikaze douga,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,movie,original,unknown,pg-13 - teens 13 or older,1.0
slice of life,ona,original,marui group,g - all ages,41.0
ecchi,ona,original,unknown,r+ - mild nudity,1.0
slice of life,movie,original,unknown,g - all ages,1.0
slice of life,special,original,zero-g,pg-13 - teens 13 or older,1.0
"fantasy, slice of life",tv,original,studio gokumi,pg-13 - teens 13 or older,12.0
unknown,ona,light novel,unknown,pg-13 - teens 13 or older,1.0
slice of life,ona,original,unknown,g - all ages,1.0
sports,ona,manga,c2c,pg - children,11.0
sports,ona,4-koma manga,space neko company,pg-13 - teens 13 or older,1.0
"adventure, sports",tv,original,unknown,g - all ages,40.0
unknown,tv,original,unknown,g - all ages,26.0
unknown,tv,original,unknown,g - all ages,26.0
unknown,tv,original,unknown,g - all ages,26.0
action,movie,original,unknown,g - all ages,1.0
unknown,tv,original,unknown,pg - children,26.0
unknown,tv,original,unknown,pg - children,26.0
sci-fi,movie,novel,kamikaze douga,pg-13 - teens 13 or older,1.0
"drama, romance",tv,manga,platinum vision,pg-13 - teens 13 or older,13.0
unknown,movie,original,actas,pg-13 - teens 13 or older,1.0
romance,TV,light novel,kyoto animation,pg-13 - teens 13 or older,2.0
"action, adventure, fantasy",tv,game,studio deen,pg-13 - teens 13 or older,13.0
"action, fantasy, supernatural",tv,game,cloverworks,pg-13 - teens 13 or older,21.0
"action, fantasy, supernatural",movie,game,signal.md,pg-13 - teens 13 or older,1.0
"action, fantasy, supernatural",movie,game,production i.g,pg-13 - teens 13 or older,1.0
"comedy, fantasy",special,manga,pierrot,pg-13 - teens 13 or older,6.0
"action, adventure, comedy, drama",movie,original,yumeta company,pg-13 - teens 13 or older,1.0
"comedy, slice of life",tv,manga,gathering,g - all ages,24.0
slice of life,music,original,unknown,g - all ages,1.0
sports,tv,game,tms entertainment,pg-13 - teens 13 or older,12.0
adventure,tv,original,unknown,g - all ages,52.0
"action, sci-fi",tv,original,unknown,g - all ages,26.0
unknown,tv,original,unknown,g - all ages,84.0
hentai,ova,manga,seven,rx - hentai,1.0
unknown,ona,unknown,unknown,g - all ages,1.0
sci-fi,ona,original,dle,g - all ages,2.0
"drama, romance, sports",tv,manga,olm,pg-13 - teens 13 or older,24.0
unknown,tv,original,unknown,g - all ages,2.0
"drama, romance",ona,manga,unknown,pg-13 - teens 13 or older,20.0
"comedy, romance",tv,manga,tezuka productions,pg-13 - teens 13 or older,12.0
"drama, horror, supernatural",special,manga,production doa,r - 17+ (violence & profanity),2.0
supernatural,music,manga,thinkr,g - all ages,1.0
"fantasy, hentai",ova,light novel,poro,rx - hentai,4.0
comedy,ona,game,signal.md,g - all ages,13.0
"comedy, fantasy",ona,game,dle,pg-13 - teens 13 or older,16.0
"action, sci-fi",ona,other,olm,pg - children,1.0
sci-fi,tv,original,unknown,g - all ages,4.0
sci-fi,tv,original,unknown,g - all ages,20.0
"sci-fi, sports",tv,original,unknown,g - all ages,20.0
"sci-fi, sports",tv,original,unknown,g - all ages,40.0
"fantasy, sci-fi",tv,original,unknown,g - all ages,80.0
"fantasy, sci-fi",tv,original,unknown,g - all ages,52.0
sci-fi,tv,original,unknown,g - all ages,52.0
sci-fi,tv,original,unknown,g - all ages,52.0
"action, sci-fi",tv,original,unknown,g - all ages,52.0
sci-fi,tv,original,unknown,g - all ages,52.0
sci-fi,tv,original,unknown,g - all ages,52.0
sci-fi,tv,original,unknown,g - all ages,52.0
sci-fi,tv,original,unknown,g - all ages,52.0
drama,movie,original,unknown,g - all ages,1.0
sci-fi,tv,original,unknown,g - all ages,124.0
sci-fi,movie,original,unknown,g - all ages,1.0
sci-fi,movie,original,unknown,g - all ages,1.0
sci-fi,movie,original,unknown,g - all ages,1.0
"adventure, sci-fi",ona,original,unknown,g - all ages,26.0
sci-fi,tv,original,unknown,g - all ages,52.0
sci-fi,movie,original,unknown,g - all ages,1.0
"sci-fi, sports",tv,original,unknown,g - all ages,104.0
"adventure, sci-fi",ona,original,unknown,g - all ages,26.0
hentai,ova,visual novel,t-rex,rx - hentai,2.0
sci-fi,music,original,unknown,g - all ages,1.0
slice of life,tv,web manga,zero-g,pg-13 - teens 13 or older,12.0
"adventure, slice of life",tv,game,animation planet,g - all ages,26.0
action,special,light novel,xebec,r - 17+ (violence & profanity),2.0
fantasy,tv,game,asahi production,pg-13 - teens 13 or older,12.0
"action, adventure, comedy, fantasy",special,game,unknown,pg-13 - teens 13 or older,1.0
unknown,special,manga,unknown,g - all ages,10.0
"sci-fi, sports",tv,game,silver link.,pg-13 - teens 13 or older,12.0
unknown,music,original,unknown,g - all ages,1.0
"comedy, drama, mystery",tv,original,production i.g,r - 17+ (violence & profanity),24.0
"comedy, slice of life",tv,4-koma manga,"kinema citrus, ascension, creators in pack, zero-g",pg-13 - teens 13 or older,11.0
ecchi,ona,other,"a-real, uwan pictures",pg-13 - teens 13 or older,6.0
romance,ona,web manga,unknown,pg-13 - teens 13 or older,30.0
adventure,tv,original,unknown,g - all ages,12.0
unknown,tv,original,unknown,g - all ages,12.0
"adventure, sci-fi",ova,original,madhouse,pg-13 - teens 13 or older,1.0
unknown,ona,original,pie in the sky,g - all ages,25.0
"comedy, sports, ecchi",special,original,rising force,pg-13 - teens 13 or older,6.0
adventure,special,light novel,lerche,r - 17+ (violence & profanity),27.0
action,special,light novel,"j.c.staff, sanzigen",pg-13 - teens 13 or older,1.0
"comedy, horror, supernatural, suspense",ona,original,unknown,r+ - mild nudity,1.0
"comedy, romance",tv,manga,"silver, arvo animation",pg-13 - teens 13 or older,13.0
sci-fi,music,music,unknown,g - all ages,1.0
"adventure, comedy, sci-fi",tv,novel,satelight,pg-13 - teens 13 or older,12.0
unknown,ova,manga,unknown,g - all ages,1.0
unknown,ova,manga,unknown,g - all ages,2.0
fantasy,ova,original,mat,g - all ages,10.0
"action, adventure, fantasy",ova,manga,a-1 pictures,pg-13 - teens 13 or older,1.0
fantasy,tv,original,seven arcs pictures,pg-13 - teens 13 or older,12.0
comedy,movie,manga,pierrot,r - 17+ (violence & profanity),1.0
"comedy, slice of life",tv,manga,zero-g,pg-13 - teens 13 or older,12.0
"action, comedy",special,game,tms entertainment,pg-13 - teens 13 or older,17.0
"comedy, slice of life",special,4-koma manga,gathering,pg-13 - teens 13 or older,3.0
"romance, hentai",ona,manga,namu animation,rx - hentai,12.0
"boys love, comedy, slice of life",ona,web manga,monofilmo,pg-13 - teens 13 or older,12.0
"gourmet, slice of life",ona,manga,asura film,pg-13 - teens 13 or older,30.0
"action, adventure, fantasy",ona,novel,foch films,pg-13 - teens 13 or older,12.0
"comedy, romance, sci-fi",tv,manga,studio a-cat,pg-13 - teens 13 or older,12.0
"action, adventure, fantasy",movie,manga,toei animation,pg-13 - teens 13 or older,1.0
sports,tv,game,olm,g - all ages,49.0
comedy,ona,original,unknown,g - all ages,26.0
"comedy, supernatural",special,manga,"j.c.staff, egg firm",pg-13 - teens 13 or older,1.0
"boys love, comedy, drama, sci-fi, slice of life",ona,web manga,haoliners animation league,pg-13 - teens 13 or older,72.0
"drama, romance",tv,original,master lights,pg-13 - teens 13 or older,12.0
hentai,ova,visual novel,studio 1st,rx - hentai,1.0
"drama, slice of life",tv,original,signal.md,pg-13 - teens 13 or older,4.0
"drama, suspense",tv,game,shaft,pg-13 - teens 13 or older,13.0
hentai,ona,game,unknown,rx - hentai,2.0
"comedy, slice of life",tv,other,polygon pictures,g - all ages,26.0
"supernatural, hentai",ova,visual novel,majin,rx - hentai,4.0
unknown,music,original,unknown,g - all ages,1.0
"action, adventure, fantasy",tv,game,j.c.staff,pg-13 - teens 13 or older,13.0
unknown,music,other,unknown,g - all ages,1.0
"comedy, romance, slice of life",ona,manga,creators in pack,pg-13 - teens 13 or older,30.0
"action, comedy, drama, sci-fi",ova,original,gaina,pg-13 - teens 13 or older,2.0
"drama, sports",TV,original,gaina,pg-13 - teens 13 or older,2.0
comedy,tv,manga,lidenfilms,pg-13 - teens 13 or older,12.0
drama,movie,novel,unknown,pg-13 - teens 13 or older,1.0
comedy,tv,other,unknown,pg-13 - teens 13 or older,11.0
"drama, romance, slice of life",ona,manga,seven stone entertainment,pg-13 - teens 13 or older,1.0
unknown,music,original,unknown,g - all ages,1.0
"fantasy, slice of life",ona,original,unknown,g - all ages,1.0
"avant garde, comedy",special,4-koma manga,unknown,pg-13 - teens 13 or older,2.0
"action, sci-fi",movie,manga,"studio 4°c, ankama animations",r - 17+ (violence & profanity),1.0
"comedy, slice of life",tv,web manga,seven,pg-13 - teens 13 or older,12.0
"action, adventure, fantasy",tv,light novel,ekachi epilka,pg-13 - teens 13 or older,12.0
"comedy, slice of life",ona,original,unknown,g - all ages,4.0
"action, adventure",tv,original,"wao world, gemba",pg-13 - teens 13 or older,12.0
comedy,tv,manga,emt squared,pg-13 - teens 13 or older,12.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,music,unknown,g - all ages,1.0
"action, sci-fi",movie,original,shanghai hippo animation,pg-13 - teens 13 or older,1.0
comedy,movie,manga,tear studio,pg-13 - teens 13 or older,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
"action, supernatural",ona,web manga,qiyuan yinghua,r - 17+ (violence & profanity),2.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
"action, sci-fi",tv,game,bibury animation studios,r+ - mild nudity,12.0
"drama, romance, supernatural",movie,light novel,cloverworks,pg-13 - teens 13 or older,1.0
hentai,ova,manga,new generation,rx - hentai,2.0
"mystery, romance",tv,game,m.s.c,pg-13 - teens 13 or older,12.0
slice of life,ova,4-koma manga,production doa,pg-13 - teens 13 or older,1.0
slice of life,tv,4-koma manga,encourage films,pg-13 - teens 13 or older,12.0
unknown,special,original,unknown,pg - children,1.0
hentai,movie,original,unknown,rx - hentai,1.0
unknown,movie,unknown,unknown,g - all ages,1.0
slice of life,ona,other,seven stone entertainment,pg-13 - teens 13 or older,1.0
romance,special,other,unknown,g - all ages,4.0
horror,ona,manga,unknown,pg-13 - teens 13 or older,20.0
romance,ova,web manga,"a-1 pictures, lapin track",pg-13 - teens 13 or older,3.0
comedy,special,original,unknown,g - all ages,6.0
slice of life,special,original,unknown,g - all ages,1.0
"comedy, slice of life",ova,4-koma manga,studio moriken,g - all ages,1.0
"fantasy, romance, ecchi",ova,manga,j.c.staff,pg-13 - teens 13 or older,2.0
"action, adventure, comedy, fantasy",ova,manga,hoods drifters studio,r - 17+ (violence & profanity),1.0
fantasy,ona,game,kamikaze douga,pg-13 - teens 13 or older,4.0
unknown,music,original,unknown,g - all ages,1.0
comedy,tv,other,kate arrow,g - all ages,237.0
"action, comedy, fantasy, sci-fi",tv,other,shimogumi,pg-13 - teens 13 or older,50.0
comedy,ona,original,unknown,g - all ages,1.0
horror,special,original,topcraft,pg-13 - teens 13 or older,2.0
fantasy,special,manga,tokyo movie shinsha,pg-13 - teens 13 or older,1.0
"action, sci-fi",movie,original,satelight,pg-13 - teens 13 or older,1.0
avant garde,movie,original,unknown,g - all ages,1.0
avant garde,ona,original,unknown,g - all ages,2.0
unknown,tv,original,unknown,g - all ages,40.0
unknown,tv,original,unknown,g - all ages,40.0
"comedy, supernatural",ona,web manga,nomad,pg-13 - teens 13 or older,1.0
comedy,special,web manga,unknown,g - all ages,1.0
"adventure, sci-fi",music,original,unknown,g - all ages,1.0
fantasy,ona,game,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
comedy,ona,light novel,white fox,g - all ages,3.0
comedy,tv,novel,studio deen,pg-13 - teens 13 or older,11.0
unknown,music,original,sanzigen,g - all ages,1.0
action,ova,game,tms entertainment,pg-13 - teens 13 or older,1.0
"comedy, fantasy, ecchi",ona,4-koma manga,imagica lab.,pg-13 - teens 13 or older,12.0
"comedy, ecchi",tv,manga,tear studio,r+ - mild nudity,12.0
comedy,ona,manga,unknown,g - all ages,5.0
sports,movie,original,kyoto animation,pg-13 - teens 13 or older,1.0
"drama, romance",ona,manga,unknown,pg-13 - teens 13 or older,20.0
unknown,ona,original,unknown,g - all ages,1.0
action,tv,manga,bones,pg-13 - teens 13 or older,25.0
"action, comedy, drama, mystery, romance",ona,original,"sharefun studio, aha entertainment",pg-13 - teens 13 or older,10.0
"action, comedy, drama, mystery, romance",ona,original,unknown,r - 17+ (violence & profanity),4.0
"comedy, slice of life",ona,original,making animation,g - all ages,12.0
"action, adventure, fantasy",ona,game,"success corp., dangun pictures",pg-13 - teens 13 or older,20.0
"drama, fantasy, suspense",movie,light novel,white fox,pg-13 - teens 13 or older,1.0
"action, adventure, comedy, fantasy",tv,game,lidenfilms,pg-13 - teens 13 or older,13.0
"action, adventure",movie,manga,unknown,g - all ages,1.0
slice of life,special,original,unknown,g - all ages,7.0
comedy,ova,manga,j.c.staff,pg-13 - teens 13 or older,3.0
"avant garde, comedy",movie,original,unknown,g - all ages,1.0
"action, ecchi",ova,manga,arms,r+ - mild nudity,3.0
comedy,tv,other,unknown,pg - children,12.0
unknown,special,original,actas,pg-13 - teens 13 or older,1.0
"action, fantasy, supernatural",special,game,cloverworks,r - 17+ (violence & profanity),2.0
"fantasy, sci-fi",ona,game,"passione, creators in pack",pg-13 - teens 13 or older,2.0
"action, adventure, fantasy, romance",ona,novel,ruo hong culture,pg-13 - teens 13 or older,40.0
"action, adventure, fantasy, romance, supernatural",ona,novel,motion magic,pg-13 - teens 13 or older,12.0
"action, drama, sci-fi",tv,original,sublimation,pg-13 - teens 13 or older,12.0
"fantasy, sci-fi",ona,game,ufotable,pg-13 - teens 13 or older,1.0
unknown,music,original,unknown,g - all ages,1.0
comedy,ona,original,unknown,g - all ages,13.0
fantasy,tv,original,asmik ace,pg-13 - teens 13 or older,11.0
"action, adventure, drama, fantasy, mystery",ona,web novel,b.cmay pictures,r - 17+ (violence & profanity),8.0
comedy,tv,original,unknown,g - all ages,2.0
hentai,ova,visual novel,t-rex,rx - hentai,1.0
drama,ona,original,tatsunoko production,g - all ages,1.0
"mystery, suspense",movie,other,unknown,r - 17+ (violence & profanity),1.0
"drama, romance",movie,original,craftar studios,pg-13 - teens 13 or older,1.0
"action, fantasy, supernatural",ona,manga,sparkly key animation studio,pg-13 - teens 13 or older,42.0
"action, adventure, drama, fantasy",ona,game,"yokohama animation lab, arvo animation",g - all ages,1.0
hentai,ova,manga,t-rex,rx - hentai,6.0
unknown,ona,game,unknown,g - all ages,1.0
"comedy, fantasy",tv,original,studio puyukai,pg-13 - teens 13 or older,12.0
"romance, sci-fi",ona,original,asura film,g - all ages,1.0
slice of life,tv,manga,c-station,pg-13 - teens 13 or older,13.0
slice of life,movie,manga,c-station,pg-13 - teens 13 or older,1.0
slice of life,tv,manga,c-station,pg-13 - teens 13 or older,12.0
unknown,music,original,unknown,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
"action, fantasy, sci-fi",tv,manga,j.c.staff,r - 17+ (violence & profanity),12.0
"action, fantasy, sci-fi",tv,manga,j.c.staff,r - 17+ (violence & profanity),25.0
"comedy, romance",tv,light novel,connect,pg-13 - teens 13 or older,12.0
"adventure, fantasy",movie,original,unknown,g - all ages,1.0
unknown,ona,game,unknown,g - all ages,1.0
unknown,music,game,unknown,g - all ages,1.0
unknown,music,game,unknown,g - all ages,1.0
unknown,music,game,unknown,g - all ages,1.0
"action, adventure, comedy, drama, fantasy",movie,original,rocen,pg-13 - teens 13 or older,1.0
"action, adventure, fantasy",ona,manga,byment,pg-13 - teens 13 or older,16.0
"action, adventure, fantasy, romance",ona,novel,foch films,pg-13 - teens 13 or older,12.0
slice of life,special,original,liberty animation studio,g - all ages,1.0
unknown,music,original,unknown,g - all ages,1.0
gourmet,special,original,unknown,g - all ages,1.0
unknown,ona,original,unknown,g - all ages,3.0
avant garde,music,original,saigo no shudan,g - all ages,1.0
unknown,music,original,saigo no shudan,g - all ages,1.0
avant garde,music,original,saigo no shudan,r+ - mild nudity,1.0
avant garde,music,original,saigo no shudan,g - all ages,2.0
unknown,music,original,saigo no shudan,g - all ages,1.0
avant garde,music,original,saigo no shudan,g - all ages,1.0
avant garde,ona,original,saigo no shudan,g - all ages,1.0
avant garde,ona,original,saigo no shudan,g - all ages,1.0
avant garde,music,original,saigo no shudan,g - all ages,2.0
avant garde,ona,original,saigo no shudan,r+ - mild nudity,1.0
unknown,music,original,saigo no shudan,g - all ages,1.0
avant garde,special,original,saigo no shudan,g - all ages,1.0
avant garde,ona,original,saigo no shudan,g - all ages,2.0
hentai,ona,other,unknown,rx - hentai,2.0
"adventure, slice of life",ona,original,unknown,g - all ages,1.0
unknown,music,original,pmats9 studio,pg-13 - teens 13 or older,1.0
"action, drama",tv,manga,wit studio,r - 17+ (violence & profanity),10.0
adventure,tv,original,unknown,g - all ages,52.0
adventure,tv,original,unknown,g - all ages,52.0
comedy,ova,web manga,dle,pg-13 - teens 13 or older,1.0
"action, fantasy",ona,novel,foch films,pg-13 - teens 13 or older,12.0
"comedy, sports",tv,4-koma manga,studio 3hz,pg-13 - teens 13 or older,12.0
"adventure, fantasy, sci-fi",movie,manga,shin-ei animation,pg - children,1.0
"comedy, drama, romance, supernatural",ona,manga,"haoliners animation league, garden culture",pg-13 - teens 13 or older,12.0
unknown,tv,original,unknown,g - all ages,40.0
unknown,tv,original,unknown,g - all ages,26.0
"action, supernatural",ona,web manga,big firebird culture,r - 17+ (violence & profanity),8.0
unknown,tv,original,unknown,g - all ages,42.0
"adventure, fantasy",tv,original,unknown,g - all ages,26.0
fantasy,music,original,unknown,g - all ages,1.0
"comedy, mystery",special,original,j.c.staff,pg-13 - teens 13 or older,1.0
