Genres,Type,Source,Studios,Rating,Episodes
"adventure, drama, fantasy, romance",ova,manga,pierrot,pg-13 - teens 13 or older,4.0
"comedy, romance",tv,original,telecom animation film,pg-13 - teens 13 or older,13.0
"comedy, drama, romance",tv,original,"ufotable, feel., studio flag",pg-13 - teens 13 or older,13.0
"action, comedy, fantasy, sci-fi",tv,game,gonzo,pg-13 - teens 13 or older,24.0
"action, drama, sci-fi",ova,game,gonzo,pg-13 - teens 13 or older,6.0
"action, adventure, comedy, drama, supernatural",tv,manga,pierrot,r - 17+ (violence & profanity),50.0
"action, adventure, comedy, drama, supernatural",tv,manga,pierrot,pg-13 - teens 13 or older,25.0
"action, adventure, comedy, drama, supernatural",tv,manga,pierrot,pg-13 - teens 13 or older,26.0
"action, mystery, supernatural",tv,manga,studio deen,pg-13 - teens 13 or older,49.0
"comedy, romance, ecchi",tv,visual novel,studio matrix,r+ - mild nudity,12.0
"action, drama, sci-fi",tv,manga,madhouse,r - 17+ (violence & profanity),13.0
"comedy, drama, supernatural",tv,manga,pierrot,pg-13 - teens 13 or older,75.0
"action, adventure, fantasy",tv,manga,nippon animation,pg-13 - teens 13 or older,62.0
"action, adventure, fantasy",ova,manga,nippon animation,pg-13 - teens 13 or older,8.0
"action, adventure, fantasy",ova,manga,nippon animation,pg-13 - teens 13 or older,8.0
"action, adventure, fantasy",ova,manga,nippon animation,pg-13 - teens 13 or older,14.0
sci-fi,tv,manga,feel.,r - 17+ (violence & profanity),12.0
"action, drama, mystery, romance, supernatural",tv,manga,toei animation,pg-13 - teens 13 or older,44.0
"drama, girls love, romance, supernatural",tv,manga,tnk,pg-13 - teens 13 or older,12.0
"drama, romance, supernatural",tv,visual novel,toei animation,g - all ages,13.0
"comedy, drama, romance",tv,manga,"gainax, j.c.staff",pg-13 - teens 13 or older,26.0
"comedy, drama, romance, sci-fi, ecchi",tv,original,"gainax, shaft",r+ - mild nudity,12.0
"drama, romance",tv,visual novel,studio fantasia,r+ - mild nudity,14.0
"drama, romance",tv,visual novel,studio deen,pg-13 - teens 13 or older,12.0
"action, boys love, drama, mystery, supernatural",tv,manga,j.c.staff,pg-13 - teens 13 or older,12.0
"action, drama, horror, mystery, supernatural",tv,original,production i.g,r - 17+ (violence & profanity),50.0
"action, comedy, girls love, sci-fi, ecchi",ova,manga,"gainax, toei animation",r+ - mild nudity,3.0
"action, sci-fi",tv,original,"gonzo, aic",r - 17+ (violence & profanity),24.0
"action, adventure, fantasy",tv,novel,pierrot,pg-13 - teens 13 or older,45.0
"action, adventure, comedy, supernatural",tv,manga,xebec,pg-13 - teens 13 or older,64.0
"action, drama, fantasy, horror, sci-fi, supernatural",movie,manga,madhouse,r - 17+ (violence & profanity),1.0
"action, drama, fantasy, romance",tv,manga,madhouse,r+ - mild nudity,24.0
"comedy, fantasy, romance, supernatural, ecchi",tv,manga,xebec,pg-13 - teens 13 or older,26.0
"drama, girls love",tv,light novel,studio deen,pg-13 - teens 13 or older,13.0
"adventure, fantasy, horror, sci-fi, supernatural",tv,manga,"gainax, j.c.staff",pg-13 - teens 13 or older,24.0
"adventure, drama, fantasy, sci-fi",tv,original,aic,r - 17+ (violence & profanity),13.0
"action, comedy",tv,manga,gonzo,r - 17+ (violence & profanity),24.0
"comedy, fantasy, romance",tv,manga,madhouse,g - all ages,26.0
"adventure, comedy, fantasy",tv,game,pierrot,pg - children,26.0
"action, adventure, award winning, fantasy",movie,original,studio ghibli,pg-13 - teens 13 or older,1.0
"action, award winning, drama, mystery, romance, sci-fi",tv,original,bones,pg-13 - teens 13 or older,26.0
sci-fi,tv,other,gonzo,pg-13 - teens 13 or older,26.0
"adventure, comedy, drama, fantasy, sci-fi",tv,light novel,bones,pg-13 - teens 13 or older,24.0
"action, adventure, drama, sci-fi",tv,original,sunrise,pg-13 - teens 13 or older,26.0
"action, horror, mystery, romance, supernatural",tv,visual novel,j.c.staff,r - 17+ (violence & profanity),12.0
sports,tv,manga,toei animation,pg-13 - teens 13 or older,101.0
"adventure, drama, fantasy",tv,original,hal film maker,pg - children,13.0
"mystery, supernatural",tv,manga,studio deen,pg-13 - teens 13 or older,25.0
"action, comedy, ecchi",tv,manga,madhouse,r - 17+ (violence & profanity),24.0
"action, adventure, romance, sci-fi",tv,manga,pierrot,pg-13 - teens 13 or older,26.0
"adventure, romance",ova,visual novel,seven arcs,r - 17+ (violence & profanity),4.0
"action, adventure, fantasy, romance",tv,manga,bee train,pg-13 - teens 13 or older,26.0
"comedy, romance",tv,manga,ashi productions,g - all ages,26.0
"comedy, romance",ova,unknown,ashi productions,g - all ages,1.0
"action, sci-fi, ecchi",tv,original,gonzo,pg-13 - teens 13 or older,13.0
"action, sci-fi, ecchi",tv,original,gonzo,pg-13 - teens 13 or older,13.0
"adventure, fantasy, romance",tv,original,sunrise,pg-13 - teens 13 or older,26.0
sports,tv,manga,studio comet,g - all ages,39.0
"action, sci-fi",tv,game,toei animation,pg-13 - teens 13 or older,12.0
"action, drama",tv,manga,"gallop, studio comet",pg-13 - teens 13 or older,26.0
"action, drama",tv,manga,pastel,pg-13 - teens 13 or older,13.0
"action, drama, romance",movie,manga,studio deen,pg-13 - teens 13 or older,1.0
"comedy, mystery, supernatural, hentai",ova,original,aic,rx - hentai,4.0
"comedy, romance, ecchi",tv,manga,xebec,pg-13 - teens 13 or older,24.0
"comedy, drama, romance, ecchi",ova,manga,xebec,pg-13 - teens 13 or older,3.0
"comedy, romance",special,manga,xebec,pg-13 - teens 13 or older,1.0
"adventure, comedy, romance",special,manga,xebec,pg-13 - teens 13 or older,1.0
"comedy, drama, romance, ecchi",tv,light novel,j.c.staff,r+ - mild nudity,24.0
"action, adventure, sci-fi",ova,original,satelight,r+ - mild nudity,5.0
"drama, romance, sci-fi",tv,original,daume,pg-13 - teens 13 or older,12.0
"comedy, drama, sci-fi",tv,original,daume,pg-13 - teens 13 or older,12.0
"comedy, romance, sci-fi, ecchi",tv,manga,"madhouse, imagin",r+ - mild nudity,24.0
"action, mystery",tv,original,gonzo,r+ - mild nudity,24.0
"adventure, award winning, supernatural",movie,original,studio ghibli,pg - children,1.0
"comedy, romance",tv,manga,tms entertainment,pg-13 - teens 13 or older,50.0
"comedy, drama, romance, ecchi",ova,manga,production i.g,r+ - mild nudity,6.0
"action, adventure, drama, fantasy, mystery, sci-fi",tv,original,bones,pg-13 - teens 13 or older,26.0
"adventure, fantasy, hentai",ova,visual novel,arms,rx - hentai,5.0
"action, comedy, ecchi",tv,visual novel,studio deen,pg-13 - teens 13 or older,12.0
"action, adventure, comedy",tv,original,manglobe,r - 17+ (violence & profanity),26.0
"action, adventure, drama, fantasy, romance",tv,novel,aic,pg-13 - teens 13 or older,27.0
"action, adventure, fantasy",ova,light novel,madhouse,r - 17+ (violence & profanity),13.0
"action, adventure, mystery, sci-fi",ova,light novel,studio deen,pg-13 - teens 13 or older,3.0
"action, adventure, comedy, drama, sci-fi",tv,manga,j.c.staff,pg-13 - teens 13 or older,26.0
"action, comedy, fantasy",tv,manga,studio deen,r+ - mild nudity,161.0
hentai,ova,visual novel,datama film,rx - hentai,2.0
"action, adventure, comedy, sci-fi",movie,original,appp,pg-13 - teens 13 or older,1.0
"comedy, hentai",ova,visual novel,triple x,rx - hentai,3.0
"comedy, romance, hentai",ova,visual novel,triple x,rx - hentai,3.0
"comedy, romance",ova,visual novel,garyuu studio,pg-13 - teens 13 or older,6.0
"comedy, romance",movie,visual novel,i-move,pg-13 - teens 13 or older,1.0
"comedy, drama, romance, hentai",ova,manga,arms,rx - hentai,5.0
"action, romance, sci-fi",tv,original,xebec,pg-13 - teens 13 or older,26.0
"action, award winning, drama, sci-fi",movie,original,xebec,r - 17+ (violence & profanity),1.0
"horror, hentai",ova,visual novel,jof,rx - hentai,4.0
"action, comedy, sci-fi, hentai",ova,original,arms,rx - hentai,2.0
"action, adventure, comedy, mystery, sci-fi",tv,original,arms,r+ - mild nudity,13.0
"action, adventure, comedy, fantasy",tv,manga,toei animation,pg-13 - teens 13 or older,153.0
"action, adventure, comedy, fantasy",tv,manga,toei animation,pg-13 - teens 13 or older,64.0
"action, drama, horror, romance, supernatural",tv,manga,arms,r+ - mild nudity,13.0
"action, avant garde, comedy, sci-fi",ova,original,"gainax, production i.g",pg-13 - teens 13 or older,6.0
"horror, mystery, supernatural",tv,original,studio deen,r - 17+ (violence & profanity),26.0
comedy,tv,manga,ufotable,r - 17+ (violence & profanity),12.0
"action, comedy",tv,manga,toei animation,r - 17+ (violence & profanity),27.0
"action, comedy, fantasy, supernatural",tv,manga,"chaos project, gansis",pg - children,26.0
"adventure, comedy, drama, fantasy, romance",tv,manga,madhouse,pg - children,70.0
"comedy, sci-fi",tv,manga,j.c.staff,g - all ages,78.0
"adventure, sports",tv,manga,tokyo kids,g - all ages,26.0
